additives_tags,brands,carbohydrates_100g,categories,countries,ecoscore_grade,energy_100g,fat_100g,fiber_100g,ingredients_text,labels,manufacturing_places,nutriscore_grade,origins,packaging,packaging_tags,product_name,proteins_100g,salt_100g,saturated-fat_100g,stores,sugars_100g
[],Cristaline,0.0,"Boissons, Eaux, Eaux de sources","Belgium,Côte d'Ivoire,France,Germany,Guadeloupe,Italy,Luxembourg,Mali,Martinique,New Caledonia,Switzerland,United Kingdom",not-applicable,0.0,0.0,0.0,Eau de source,Triman,"Saint-Martin de Gurson,France,24610",a,"France,fr:Saint-Martin de Gurson","HdpeFilm-packet, Aluminium-can, PpFilm-wrapper, en:ldpe-film","['en:aluminium-can', 'en:hdpefilm-packet', 'en:ppfilm-wrapper', 'en:ldpe-film']",Eau de source,0.0,0.00525,0.0,"Carrefour,Leclerc,Auchan,Intermarché,Super U,E.Leclerc",0.0
"['en:e150d', 'en:e338']",Coca cola,10.6,"Boissons, Boissons gazeuses, Sodas, Boissons gazeuses sans jus de fruit, Sodas au cola, Boissons gazeuses sucrées sans jus de fruit, Boissons avec sucre ajouté","Bélgica,Francia,Alemania,Hungría,Italia,Serbia,España,Suiza",not-applicable,180.0,0.0,,"Eau gazéifiée, sucre, colorant: E150d, acidifiant: acide phosphorique, arômes naturels, arôme caféine.","Fabriqué en France, Triman, Povratna naknada","France,Issy-les-Moulineaux",e,,"Metal,Recyclable Metals,Aluminium,Can,Drink can,fr:Canette métal à recycler","['en:metal', 'en:recyclable-metals', 'en:aluminium', 'en:can', 'en:drink-can', 'fr:canette-metal-a-recycler']",Coca-cola,0.0,0.0,0.0,"Monoprix,Lidl,Carrefour",10.6
"['en:e150d', 'en:e290', 'en:e338']",Cocacola,10.6,"Boissons,Boissons gazeuses,Sodas,Sodas au cola","France,Lituanie,Royaume-Uni",not-applicable,180.0,0.0,,"water, sugar, carbon dioxide, colour E150d, acid: phosphoric acid, natural flavourings, flavour caffeine","Point Vert, Fabriqué En France, Point Vert","Atlanta,Georgia,United States",e,,"Métal,Métaux recyclables,Aluminium,Boîte de conserve ou canette,Canette,en:Recycler","['en:metal', 'en:recyclable-metals', 'en:aluminium', 'en:can', 'en:drink-can', 'en:recycler']",Coca-Cola,0.0,0.0,0.0,"Carrefour,Mercadona,Ahorramas,Maxima",10.6
[],Cristaline,0.0,"Boissons, Eaux, Eaux de sources, Boissons sans sucre ajouté","Belgique,Côte d'Ivoire,France,Luxembourg,Mali,Martinique,Russie,Suisse,Royaume-Uni",not-applicable,0.0,0.0,,Eau de source,"Triman, Sans Nitrates","France,Italie",a,"France,Italie,en:Cairanne,en:Chambon-la-Forêt,en:Provence-Alpes-Côte d'Azur,en:Source Emma,en:Source Ofélia,en:Source Sainte Cécile,en:Source Éléna,en:Source Éléonore,en:Vaucluse","Plastique,Bouteille ou Flacon,PET 1 - Polytéréphtalate d'éthylène,Bouteille,Bouchon en plastique","['en:plastic', 'en:bottle-or-vial', 'en:pet-1-polyethylene-terephthalate', 'en:bottle', 'fr:bouchon-en-plastique']",Eau de source,,0.000475,0.0,"Sogeres,Holyday Inn Toulon",
"['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']",Coca-Cola,0.0,"Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Boissons sans alcool, Sodas au cola, Sodas light, Sodas au cola light","Bélgica,Francia,Alemania,Hungría,Italia,España,Suiza,Estados Unidos",not-applicable,1.4,0.0,0.0,"eau gazéifiée : colorant : E150d , acidifiant : acide phosphorique, édulcorants : aspartame, acésulfame-K , arômes naturels (caféine), correcteur d'acidité, citrates de sodium","Fabriqué en France, Arômes naturels, Sans matière grasse hydrogénée, Triman","Serbia,France",b,,"Metall,Wiederverwertbare Metalle,Aluminium,Dose,Getränkedose","['en:metal', 'en:recyclable-metals', 'en:aluminium', 'en:can', 'en:drink-can']",Coca Cola Zero,0.0,0.02,0.0,Magasins U,0.0
"['en:e150d', 'en:e290', 'en:e338']",Coca Cola,11.2,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages","Austria,Belgium,Bulgaria,Croatia,France,Germany,Hungary,Morocco,Poland,Romania,Serbia,Spain,Switzerland,United Kingdom",not-applicable,190.0,0.0,,"Wasser, Zucker, Kohlensäure, Farbstoff E 150d, Säuerungsmittel E338, natürliche Aromen, Aroma Koffein.",,,e,,"Plastic, Pet-polyethylene-terephthalate, Bottle, en:pet-bottle","['en:plastic', 'en:bottle-or-vial', 'en:pet-1-polyethylene-terephthalate', 'en:bottle', 'en:pet-bottle']",Coca Cola,0.0,0.0,0.0,"Magasins U,Żabka,Biedronka",11.2
[],"San Pellegrino, Nestlé",0.0,"Beverages, Carbonated drinks, Waters, Spring waters, Mineral waters, Carbonated waters, Natural mineral waters, Carbonated mineral waters, Carbonated natural mineral waters, Boissons-sans-sucre-ajoute","Belgio,Francia,Italia,Lussemburgo,Paesi Bassi,Svizzera",not-applicable,0.0001,0.0,,carbonated water 100%,"Vegetarian, Vegan",Bergame,a,"Italie,it:Bergamo,it:San Pellegrino Terme","en:1 Bouchon en plastique,en:1 Bouteille en plastique de 1L (30% de plastique recyclé),en:1 étiquette en papier,en:Hdpe-cap,en:Pet-bottle,bottiglia pet","['en:1-bouchon-en-plastique', 'en:1-bouteille-en-plastique-de-1l-30-de-plastique-recycle', 'en:1-etiquette-en-papier', 'en:hdpe-cap', 'en:pet-bottle', 'it:bottiglia-pet']",S. Pellegrino Water,0.0,0.0,0.0,"Carrefour,Intermarché,Système U,E.Leclerc,Auchan,carrefour.fr",0.0
[],Volvic,,"Getränke,Wasser,Quellwasser,Mineralwasser,Natürliches Mineralwasser","Belgien,Frankreich,Deutschland,Luxemburg,Schweiz",not-applicable,,,,natural mineral water,"CO2-neutral,Carbon Trust,Carbon Trust Carbon Neutral,Zertifizierte B Corporation,Triman,en:B Corporation Certification",,a,,"Plastique,Bouteille ou Flacon,Bouteille,Plastikflasche","['en:plastic', 'en:bottle-or-vial', 'en:bottle', 'fr:plastikflasche']",Volvic,,0.00305,,auchan,
[],"La Salvetat,Danone",0.0,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales naturelles, Eaux minérales gazeuses",France,not-applicable,0.0,0.0,0.0,Eau de source,Triman,France,a,"France,en:Haut-Languedoc","Plastique,Bouteille","['en:plastic', 'en:bottle']",La salvetat,0.0,0.00125,0.0,,0.0
['en:e330'],"Pulco,Schweppes International Limited,Orangina Schweppes France",1.6,"Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Sirops, Sirops aromatisés, Citron à diluer pour boissons","Belgique,France,Allemagne,Suisse",b,99.0,0.0,,"eau, citron 35,5 % et orange 4,5 % , pulpe de citron 5 %, acidifiant : acide citrique, extrait de citron.","Bio, Bio européen, Sans conservateurs, Sans sucre ajouté, Sans colorants, en:Peu ou pas de sucre, en:Sans colorants, en:Sans conservateurs, en:Sans sucre ajouté",,c,"Non indiqué,en:Non indiqué","Glas,Flasche","['en:glass', 'en:bottle']",Pulco,0.2,0.01,0.0,"Géant Casino,Magasins U,Auchan,Delhaize,Carrefour",0.8
